Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2015, CLE, AL, 99, 438, 390, 50, 122, 22, 4, 12, 51, 27, 69, 12, 2, 1, .313, .353, .482, .835, 438, 188, 142, 13, 7, .348, 38, 12, 73, 1578, 3.603, .158, .027, .391, .169, .169, 0
2016, CLE, AL, 158, 684, 604, 99, 182, 30, 3, 15, 78, 57, 88, 19, 5, 5, .301, .358, .435, .794, 684, 263, 258, 3, 15, .324, 48, 18, 115, 2552, 3.731, .129, .022, .648, .134, .134, 1
2017, CLE, AL, 159, 723, 651, 99, 178, 44, 4, 33, 89, 60, 93, 15, 3, 4, .273, .337, .505, .842, 723, 329, 229, 5, 3, .275, 81, 11, 86, 2727, 3.772, .129, .046, .645, .232, .232, 1
2018, CLE, AL, 158, 745, 661, 129, 183, 42, 2, 38, 92, 70, 107, 25, 10, 8, .277, .352, .519, .871, 745, 343, 191, 3, 3, .279, 82, 5, 72, 2920, 3.919, .144, .051, .654, .242, .242, 1
2019, CLE, AL, 143, 654, 598, 101, 170, 40, 2, 32, 74, 46, 98, 22, 5, 3, .284, .335, .518, .854, 654, 310, 184, 1, 6, .291, 74, 13, 68, 2426, 3.709, .150, .049, .469, .234, .234, 0
2020, CLE, AL, 45, 195, 178, 23, 49, 10, 0, 7, 19, 13, 34, 3, 1, 4, .275, .338, .449, .788, 195, 80, 86, 0, 0, .307, 17, 8, 31, 808, 4.144, .174, .036, .382, .174, .174, 0
6 Seasons, 761, 3436, 3079, 501, 883, 188, 15, 137, 403, 273, 489, 96, 26, 25, .287, .346, .491, .837, 3436, 1512, 1090, 25, 34, .300, 340, 67, 445, 13004, 3.785, .142, .040, .558, .204, .204, 3
