Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2015, SD, NL, 56, 152, 137, 13, 23, 2, 0, 3, 11, 8, 38, 0, 0, 1, .168, .215, .248, .463, 152, 34, 59, 3, 3, .202, 5, 1, 22, 536, 3.526, .250, .020, .211, .080, .080, 0
2016, SD, NL, 8, 26, 24, 2, 3, 1, 0, 0, 1, 0, 7, 0, 1, 1, .125, .154, .167, .321, 26, 4, 8, 0, 1, .167, 1, 0, 1, 96, 3.692, .269, .000, .---, .042, .042, 0
2017, SD, NL, 120, 417, 387, 36, 83, 17, 0, 18, 55, 23, 122, 4, 1, 3, .214, .262, .398, .660, 417, 154, 173, 1, 3, .260, 35, 10, 55, 1536, 3.683, .293, .043, .189, .183, .183, 0
2018, SD, NL, 91, 326, 303, 29, 70, 14, 2, 14, 37, 21, 90, 3, 0, 1, .231, .282, .429, .711, 326, 130, 150, 0, 1, .280, 30, 9, 46, 1298, 3.982, .276, .043, .233, .198, .198, 0
2019, SD, NL, 102, 347, 312, 28, 55, 9, 0, 11, 36, 27, 109, 1, 0, 5, .176, .252, .311, .563, 347, 97, 136, 2, 1, .228, 20, 3, 31, 1373, 3.957, .314, .032, .248, .135, .135, 1
2020, 2 Teams, 32, 78, 64, 7, 10, 1, 0, 3, 6, 6, 22, 1, 1, 2, .156, .247, .313, .559, 20, 32, 5, 1, .175, 315
2020, CLE, AL, 3, 7, 7, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, .143, .143, .143, .286, 7, 1, 4, 0, 0, .333, 0, 0, 0, 26, 3.714, .571, .000, .---, .000, .000, 0
2020, SD, NL, 29, 71, 57, 7, 9, 1, 0, 3, 6, 6, 18, 1, 1, 2, .158, .258, .333, .591, 71, 19, 28, 5, 1, .162, 4, 3, 14, 289, 4.070, .254, .042, .333, .175, .175, 0
6 Seasons, 409, 1346, 1227, 115, 244, 44, 2, 49, 146, 85, 388, 9, 3, 13, .199, .256, .358, .614, 1346, 439, 558, 11, 10, .244, 95, 26, 169, 5154, 3.829, .288, .036, .219, .159, .159, 1
