2019, SD, NL, 94, 279, 253, 29, 63, 15, 0, 8, 32, 25, 64, 1, 1, 0, .249, .315, .403, .719, 
2020, 2 Teams, 21, 48, 46, 6, 12, 0, 1, 1, 5, 1, 4, 1, 0, 1, .261, .292, .370, .661, 
2020, CLE, AL, 3, 10, 10, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, .200, .200, .200, .400, 
2020, SD, NL, 18, 38, 36, 4, 10, 0, 1, 1, 4, 1, 4, 1, 0, 1, .278, .316, .417, .732, 
2 Seasons, 115, 327, 299, 35, 75, 15, 1, 9, 37, 26, 68, 2, 1, 1, .251, .312, .398, .710, 
2019, SD, NL, 279, 102, 93, 0, 1, .302, 23, 4, 40, 1154, 4.136, .229, .029, .391, .154, .154, 0, 
2020, 2 Teams, 48, 17, 27, 0, 0, .268, 173, 
2020, CLE, AL, 10, 2, 6, 0, 0, .200, 0, 0, 2, 25, 2.500, .000, .000, .---, .000, .000, 0, 
2020, SD, NL, 38, 15, 21, 0, 0, .290, 2, 2, 8, 148, 3.895, .105, .026, .250, .139, .139, 0, 
327, 119, 120, 0, 1, .296, 25, 6, 50, 1327, 4.058, .208, .028, .382, .147, .147, 0, 
