2015, TEX, AL, 121, 492, 425, 83, 111, 22, 10, 2, 37, 53, 101, 25, 8, 3, .261, .344, .374, .718, 
2016, TEX, AL, 74, 203, 182, 36, 38, 7, 0, 4, 13, 15, 54, 8, 3, 2, .209, .275, .313, .588, 
2017, TEX, AL, 120, 440, 376, 75, 101, 15, 2, 6, 22, 44, 109, 29, 8, 3, .269, .347, .367, .714, 
2018, TEX, AL, 106, 393, 334, 52, 72, 14, 1, 2, 22, 43, 83, 20, 4, 3, .216, .310, .281, .591, 
2019, TEX, AL, 118, 408, 357, 42, 89, 15, 4, 4, 32, 38, 100, 24, 6, 3, .249, .325, .347, .672, 
2020, CLE, AL, 19, 65, 57, 5, 16, 1, 0, 0, 4, 6, 16, 1, 2, 0, .281, .349, .298, .648, 
6 Seasons, 558, 2001, 1731, 293, 427, 74, 17, 18, 130, 199, 463, 107, 31, 14, .247, .327, .340, .667, 
2015, TEX, AL, 492, 159, 117, 7, 4, .334, 34, 1, 61, 1923, 3.909, .205, .004, .525, .113, .113, 0, 
2016, TEX, AL, 203, 57, 63, 3, 1, .272, 11, 1, 22, 830, 4.089, .266, .020, .278, .104, .104, 0, 
2017, TEX, AL, 440, 138, 117, 13, 4, .358, 23, 2, 51, 1814, 4.123, .248, .014, .404, .098, .098, 1, 
2018, TEX, AL, 393, 94, 117, 12, 1, .280, 17, 1, 48, 1574, 4.005, .211, .005, .518, .066, .066, 0, 
2019, TEX, AL, 408, 124, 124, 8, 2, .333, 23, 8, 48, 1669, 4.091, .245, .010, .380, .098, .098, 1, 
2020, CLE, AL, 65, 17, 23, 2, 0, .390, 1, 0, 6, 246, 3.785, .246, .000, .375, .018, .018, 0, 
2001, 589, 561, 45, 12, .324, 109, 13, 236, 8056, 4.026, .231, .009, .430, .094, .094, 2, 
